#Series Time Value
Total 12:08:22 4.461306
Total 12:08:24 8.364048
Total 12:08:26 8.141068
Total 12:08:28 4.040222
Total 12:08:30 6.532314
Total 12:08:32 6.206323
Total 12:08:34 3.74568
Total 12:08:36 4.861805
Total 12:08:38 2.429322
Total 12:08:40 6.111434
Total 12:08:42 1.852384
Total 12:08:44 9.72904
Total 12:08:46 1.854018
Total 12:08:48 1.886801
Total 12:08:50 6.125083
Total 12:08:52 4.478446
Total 12:08:54 15.66972
Total 12:08:56 10.949295
Total 12:08:58 14.627725
Total 12:09:00 8.213922
Total 12:09:02 8.986773
Total 12:09:04 16.78475
Total 12:09:06 19.283974
Total 12:09:08 21.698772
Total 12:09:10 20.28956
Total 12:09:12 25.191299
Total 12:09:14 38.603645
Total 12:09:16 35.281548
Total 12:09:18 33.292377
Total 12:09:20 39.043373
Total 12:09:22 53.003384
Total 12:09:24 53.316315
Total 12:09:26 53.196632
Total 12:09:28 55.74308
Total 12:09:30 57.567215
Total 12:09:32 52.318459
Total 12:09:34 67.065765
Total 12:09:36 64.784912
Total 12:09:38 70.059441
Total 12:09:40 55.955833
Total 12:09:42 73.896271
Total 12:09:44 86.770454
Total 12:09:46 86.880478
Total 12:09:48 82.374504
Total 12:09:50 70.030312
Total 12:09:52 58.111691
Total 12:09:54 55.319965
Total 12:09:56 41.305321
Total 12:09:58 48.035183
Total 12:10:00 24.331829
Total 12:10:02 33.312828
Total 12:10:04 21.72316
Total 12:10:06 11.225947
Total 12:10:08 13.236055
Total 12:10:10 10.732116
Total 12:10:12 17.541655
Total 12:10:14 11.923075
Total 12:10:16 6.340991
Total 12:10:18 0
Total 12:10:20 0
Total 12:10:22 0
Total 12:10:24 0
Total 12:10:26 1.536798
Total 12:10:28 3.00405
Total 12:10:30 12.218375
Total 12:10:32 9.362926
Total 12:10:34 0.79867
Total 12:10:36 10.424308
Total 12:10:38 8.188095
Total 12:10:40 8.050776
Total 12:10:42 14.652754
Total 12:10:44 8.985854
Total 12:10:46 16.944288
Total 12:10:48 19.400898
Total 12:10:50 15.241632
Total 12:10:52 22.160149
Total 12:10:54 25.27136
Total 12:10:56 25.77697
Total 12:10:58 25.213625
Total 12:11:00 27.059385
Total 12:11:02 34.991676
Total 12:11:04 31.818035
Total 12:11:06 39.098846
Total 12:11:08 34.566631
Total 12:11:10 29.375669
Total 12:11:12 35.882771
Total 12:11:14 36.156738
Total 12:11:16 36.443691
Total 12:11:18 54.693592
Total 12:11:20 46.317116
Total 12:11:22 61.08213
Total 12:11:24 56.19902
Total 12:11:26 37.948711
Total 12:11:28 59.059536
Total 12:11:30 69.339897
Total 12:11:32 82.737007
Total 12:11:34 57.879681
Total 12:11:36 69.586418
Total 12:11:38 89.6605
Total 12:11:40 63.422676
Total 12:11:42 81.285851
Total 12:11:44 83.848122
Total 12:11:46 81.938622
Total 12:11:48 112.302399
Total 12:11:50 93.599083
Total 12:11:52 121.561836
Total 12:11:54 100.32476
Total 12:11:56 103.546089
Total 12:11:58 108.019478
Total 12:12:00 95.631523
Total 12:12:02 127.786591
Total 12:12:04 76.70314
Total 12:12:06 76.725288
Total 12:12:08 106.62159
Total 12:12:10 69.878998
Total 12:12:12 83.154495
Total 12:12:14 84.107536
Total 12:12:16 88.177353
Total 12:12:18 81.401787
Total 12:12:20 58.752712
Total 12:12:22 64.224472
Total 12:12:24 59.857338
Total 12:12:26 70.824524
Total 12:12:28 64.375816
Total 12:12:30 53.962997
Total 12:12:32 435.486572
Total 12:12:34 435.486572
Total 12:12:36 4.814458
Total 12:12:38 55.174805
Total 12:12:40 44.454498
Total 12:12:42 66.949547
Total 12:12:44 57.067993
Total 12:12:46 58.462734
Total 12:12:48 78.132553
Total 12:12:50 73.11367
Total 12:12:52 65.379051
Total 12:12:54 76.354057
Total 12:12:56 90.834908
Total 12:12:58 71.654694
Total 12:13:00 77.111382
Total 12:13:02 73.454285
Total 12:13:04 70.493149
Total 12:13:06 94.663055
Total 12:13:08 85.747383
Total 12:13:10 81.554092
Total 12:13:12 96.108208
Total 12:13:14 78.432655
Total 12:13:16 91.472618
Total 12:13:18 112.667305
Total 12:13:20 100.811981
Total 12:13:22 119.903992
Total 12:13:24 86.368111
Total 12:13:26 115.085106
Total 12:13:28 108.098679
Total 12:13:30 76.515656
Total 12:13:32 110.074158
Total 12:13:34 96.758156
Total 12:13:36 105.445442
Total 12:13:38 117.489082
Total 12:13:40 95.113716
Total 12:13:42 91.96022
Total 12:13:44 60.242367
Total 12:13:46 57.791634
Total 12:13:48 41.461121
Total 12:13:50 46.953522
Total 12:13:52 35.876205
Total 12:13:54 41.134262
Total 12:13:56 41.696293
Total 12:13:58 37.255753
Total 12:14:00 32.877159
Total 12:14:02 26.238079
Total 12:14:04 11.518904
Total 12:14:06 13.521965
Total 12:14:08 20.374363
Total 12:14:10 14.913435
Total 12:14:12 8.497469
Total 12:14:14 11.287241
Total 12:14:16 13.263012
Total 12:14:18 10.611193
Total 12:14:20 9.039328
Total 12:14:22 6.237144
Total 12:14:24 5.033374
Total 12:14:26 7.505586
Total 12:14:28 3.980292
Total 12:14:30 10.896164
Total 12:14:32 6.410571
Total 12:14:34 26.73464
Total 12:14:36 48.374668
Total 12:14:38 48.374668
Total 12:14:40 48.374668
Total 12:14:42 14.774767
Total 12:14:44 18.61446
Total 12:14:46 16.721727
Total 12:14:48 17.312143
Total 12:14:50 17.24543
Total 12:14:52 27.243713
Total 12:14:54 18.995464
Total 12:14:56 20.415298
Total 12:14:58 31.062429
Total 12:15:00 25.715849
Total 12:15:02 25.750114
Total 12:15:04 26.302872
Total 12:15:06 35.553535
Total 12:15:08 26.985277
Total 12:15:10 41.648739
Total 12:15:12 28.433187
Total 12:15:14 38.958874
Total 12:15:16 50.194073
Total 12:15:18 36.681614
Total 12:15:20 38.201473
Total 12:15:22 36.57143
Total 12:15:24 42.598873
Total 12:15:26 50.750061
Total 12:15:28 49.140312
Total 12:15:30 56.364925
Total 12:15:32 43.309418
Total 12:15:34 51.33466
Total 12:15:36 48.430527
Total 12:15:38 44.176365
Total 12:15:40 75.40065
Total 12:15:42 43.623898
Total 12:15:44 55.912933
Total 12:15:46 65.023857
Total 12:15:48 49.955116
Total 12:15:50 55.205875
Total 12:15:52 35.50758
Total 12:15:54 41.740837
Total 12:15:56 38.259224
