#							
#							
#	Nuclide	A	Z	N	t1/2	Low Energy Yields [ions/sec]	Re-Accelerated Energy Yields [ions/sec]
#	CategoryFilter-StringFilter	Hidden-StringFilter	Hidden-StringFilter	Hidden-StringFilter			
	99Y	99	39	55	1.47 s	3.10E+04	3.30E+03
	99Zr	99	40	54	2.2 s	3.40E+04	4.10E+03
	99Nb-m	99	41	54	2.6 m	2.90E+03	4.50E+02
	99Nb	99	41	57	15 s	2.50E+02	3.80E+01
	100Sr	100	38	57	0.201 s	9.50E+02	9.40E+00
	100Y	100	39	56	0.73 s	2.10E+04	1.50E+03
	100Zr	100	40	55	7.1 s	5.60E+04	8.00E+03
	100Nb-m	100	41	55	3 s	7.70E+03	9.90E+02
	100Nb	100	41	57	1.5 s	7.70E+03	8.30E+02
	101Y	101	39	57	0.43 s	9.10E+03	3.90E+02
	101Zr	101	40	56	2.1 s	5.90E+04	7.10E+03
	101Nb	101	41	55	7.1 s	3.50E+04	5.00E+03
	101Mo	101	42	55	14.6 m	2.40E+03	3.70E+02
	102Y	102	39	59	0.36 s	2.20E+03	7.40E+01
	102Zr	102	40	58	2.9 s	3.90E+04	5.00E+03
	102Nb	102	41	57	1.3 s	5.50E+04	5.60E+03
	102Mo	102	42	56	11.3 m	1.30E+04	1.90E+03
	103Y	103	39	56	0.26 s	4.80E+02	8.90E+00
	103Zr	103	40	59	1.3 s	2.30E+04	2.30E+03
	103Nb	103	41	58	1.5 s	8.30E+04	8.90E+03
	103Mo	103	42	57	1.13 m	4.00E+04	6.20E+03
	103Tc	103	43	56	54 s	1.50E+03	2.40E+02
	104Zr	104	40	57	1.2 s	6.00E+03	5.90E+02
	104Nb	104	41	60	4.8 s	5.80E+04	8.00E+03
	104Mo	104	42	59	60 s	7.60E+04	1.20E+04
	104Tc	104	43	58	18.2 m	1.20E+04	1.80E+03
	105Zr	105	40	58	0.493 s	1.10E+03	5.30E+01
	105Nb	105	41	60	3 s	2.70E+04	3.50E+03
	105Mo	105	42	59	36 s	8.20E+04	1.20E+04
	105Tc	105	43	58	7.6 m	5.70E+04	8.80E+03
	105Ru	105	44	58	4.44 h	1.80E+03	2.90E+02
	106Nb	106	41	58	1 s	1.20E+04	1.10E+03
	106Mo	106	42	58	8.4 s	9.40E+04	1.40E+04
	106Tc	106	43	61	36 s	5.90E+04	9.10E+03
	106Ru	106	44	60	1.02 y	5.60E+03	8.70E+02
	107Nb	107	41	60	0.766 s	2.40E+03	1.80E+02
	107Mo	107	42	60	3.5 s	5.40E+04	7.20E+03
	107Tc	107	43	61	21.2 s	9.80E+04	1.50E+04
	107Ru	107	44	60	3.8 m	2.40E+04	3.70E+03
	107Rh	107	45	60	21.7 m	4.30E+02	6.60E+01
	108Nb	108	41	60	0.242 s	2.80E+02	4.30E+00
	108Mo	108	42	60	1.5 s	1.80E+04	1.90E+03
	108Tc	108	43	62	5.1 s	9.00E+04	1.30E+04
	108Ru	108	44	61	4.5 m	5.30E+04	8.30E+03
	108Rh-m	108	45	61	5.9 m	1.50E+03	2.40E+02
	108Rh	108	45	60	17 s	1.50E+03	2.30E+02
	109Mo	109	42	63	1.41 s	4.00E+03	4.20E+02
	109Tc	109	43	62	1.4 s	5.10E+04	5.30E+03
	109Ru	109	44	61	34.5 s	8.10E+04	1.20E+04
	109Rh-m	109	45	61	50 s	6.90E+03	1.10E+03
	109Rh	109	45	62	1.34 m	1.80E+04	2.70E+03
	110Mo	110	42	62	2.77 s	6.20E+02	7.90E+01
	110Tc	110	43	63	0.83 s	2.30E+04	1.80E+03
	110Ru	110	44	62	15 s	9.80E+04	1.50E+04
	110Rh-m	110	45	62	29 s	1.80E+04	2.80E+03
	110Rh	110	45	62	3.1 s	1.80E+04	2.40E+03
	111Tc	111	43	63	1.98 s	4.80E+03	5.60E+02
	111Ru	111	44	62	1.5 s	6.10E+04	6.60E+03
	111Rh	111	45	62	11 s	6.60E+04	9.80E+03
	111Pd-m	111	46	61	5.5 h	4.60E+03	7.20E+02
	111Pd	111	46	61	23.4 m	3.30E+03	5.10E+02
	112Tc	112	43	62	0.431 s	6.20E+02	2.70E+01
	112Ru	112	44	62	4.5 s	2.50E+04	3.50E+03
	112Rh	112	45	61	4 s	6.50E+04	8.70E+03
	112Pd	112	46	62	20.04 h	2.00E+04	3.10E+03
	112Ag	112	47	62	3.13 h	9.70E+02	1.50E+02
	113Ru	113	44	62	2.7 s	5.80E+03	7.30E+02
	113Rh	113	45	64	0.9 s	5.30E+04	4.40E+03
	113Pd	113	46	63	1.64 m	6.50E+04	1.00E+04
	113Ag-m	113	47	62	1.14 m	5.30E+03	8.20E+02
	113Ag	113	47	62	5.3 h	7.90E+02	1.20E+02
	114Ru	114	44	64	8.14 s	5.10E+02	7.50E+01
	114Rh	114	45	63	1.8 s	1.50E+04	1.70E+03
	114Pd	114	46	62	2.48 m	4.90E+04	7.60E+03
	114Ag	114	47	62	4.6 s	2.50E+04	3.40E+03
	115Rh	115	45	65	0.99 s	4.60E+03	4.10E+02
	115Pd	115	46	64	47 s	4.60E+04	7.10E+03
	115Ag-m	115	47	64	18.7 s	1.50E+04	2.20E+03
	115Ag	115	47	63	20 m	1.20E+04	1.80E+03
	115Cd-m	115	48	62	44.6 d	1.10E+03	1.70E+02
	115Cd	115	48	65	2.228 d	3.30E+02	5.20E+01
	116Rh	116	45	65	0.7 s	6.10E+02	4.30E+01
	116Pd	116	46	64	12.7 s	2.20E+04	3.30E+03
	116Ag-m	116	47	64	10.5 s	1.40E+04	2.10E+03
	116Ag	116	47	63	2.68 m	1.80E+04	2.70E+03
	117Pd	117	46	67	5 s	7.90E+03	1.10E+03
	117Ag-m	117	47	66	5.3 s	1.40E+04	1.90E+03
	117Ag	117	47	65	1.22 m	1.40E+04	2.10E+03
	117Cd-m	117	48	64	3.4 h	4.00E+03	6.20E+02
	117Cd	117	48	64	2.49 h	1.20E+03	1.80E+02
	118Pd	118	46	64	2.4 s	3.40E+03	4.20E+02
	118Ag-m	118	47	67	2.4 s	7.90E+03	9.80E+02
